occurrenceID,verbatimMeasurementType,measurementType,measurementValue,measurementUnit
TANGO_2-DIV_1-S7_O7-7,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.36,per mille
TANGO_2-DIV_1-S7_O7-7,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.73,per mille
TANGO_2-DIV_1-S7_O8-8,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_2-DIV_1-S7_O8-8,height,Height of sea urchin in mm,29,mm
TANGO_2-DIV_1-S7_O8-8,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.92,per mille
TANGO_2-DIV_1-S7_O8-8,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.46,per mille
TANGO_2-DIV_1-S7_O8-8,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.73,per mille
TANGO_2-DIV_1-S7_O9-9,sizeAmbitus,Size ambitus of sea urchin in mm,44,mm
TANGO_2-DIV_1-S7_O9-9,height,Height of sea urchin in mm,29,mm
TANGO_2-DIV_1-S7_O9-9,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.98,per mille
TANGO_2-DIV_1-S7_O9-9,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.85,per mille
TANGO_2-DIV_1-S7_O9-9,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.5,per mille
TANGO_2-DIV_1-S7_O10-10,sizeAmbitus,Size ambitus of sea urchin in mm,45,mm
TANGO_2-DIV_1-S7_O10-10,height,Height of sea urchin in mm,27,mm
TANGO_2-DIV_1-S7_O10-10,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.09,per mille
TANGO_2-DIV_1-S7_O10-10,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.76,per mille
TANGO_2-DIV_1-S7_O10-10,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.6,per mille
TANGO_2-DIV_1-S7_O11-11,sizeAmbitus,Size ambitus of sea urchin in mm,48,mm
TANGO_2-DIV_1-S7_O11-11,height,Height of sea urchin in mm,27,mm
TANGO_2-DIV_1-S7_O11-11,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.78,per mille
TANGO_2-DIV_1-S7_O11-11,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.3,per mille
TANGO_2-DIV_1-S7_O11-11,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.58,per mille
TANGO_2-DIV_1-S7_O12-12,sizeAmbitus,Size ambitus of sea urchin in mm,51,mm
TANGO_2-DIV_1-S7_O12-12,height,Height of sea urchin in mm,32,mm
TANGO_2-DIV_1-S7_O12-12,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.95,per mille
TANGO_2-DIV_1-S7_O12-12,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.9,per mille
TANGO_2-DIV_1-S7_O12-12,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.98,per mille
TANGO_2-DIV_1-S7_O13-13,sizeAmbitus,Size ambitus of sea urchin in mm,53,mm
TANGO_2-DIV_1-S7_O13-13,height,Height of sea urchin in mm,31,mm
TANGO_2-DIV_1-S7_O13-13,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.04,per mille
TANGO_2-DIV_1-S7_O13-13,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.64,per mille
TANGO_2-DIV_1-S7_O13-13,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.12,per mille
TANGO_2-DIV_1-S7_O14-14,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_2-DIV_1-S7_O14-14,height,Height of sea urchin in mm,28,mm
TANGO_2-DIV_1-S7_O14-14,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.8,per mille
TANGO_2-DIV_1-S7_O14-14,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.75,per mille
TANGO_2-DIV_1-S7_O14-14,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.49,per mille
TANGO_2-DIV_1-S7_O15-15,sizeAmbitus,Size ambitus of sea urchin in mm,51,mm
TANGO_2-DIV_1-S7_O15-15,height,Height of sea urchin in mm,28,mm
TANGO_2-DIV_1-S7_O15-15,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.77,per mille
TANGO_2-DIV_1-S7_O15-15,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.82,per mille
TANGO_2-DIV_1-S7_O15-15,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.47,per mille
TANGO_2-DIV_1-S7_O16-16,sizeAmbitus,Size ambitus of sea urchin in mm,46,mm
TANGO_2-DIV_1-S7_O16-16,height,Height of sea urchin in mm,27,mm
TANGO_2-DIV_1-S7_O16-16,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.69,per mille
TANGO_2-DIV_1-S7_O16-16,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.57,per mille
TANGO_2-DIV_1-S7_O16-16,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.17,per mille
TANGO_2-DIV_1-S7_O17-17,sizeAmbitus,Size ambitus of sea urchin in mm,53,mm
TANGO_2-DIV_1-S7_O17-17,height,Height of sea urchin in mm,34,mm
TANGO_2-DIV_1-S7_O17-17,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.08,per mille
TANGO_2-DIV_1-S7_O17-17,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.62,per mille
TANGO_2-DIV_1-S7_O17-17,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.28,per mille
TANGO_2-DIV_1-S7_O18-18,sizeAmbitus,Size ambitus of sea urchin in mm,53,mm
TANGO_2-DIV_1-S7_O18-18,height,Height of sea urchin in mm,33,mm
TANGO_2-DIV_1-S7_O18-18,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.74,per mille
TANGO_2-DIV_1-S7_O18-18,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.82,per mille
TANGO_2-DIV_1-S7_O18-18,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.03,per mille
TANGO_2-DIV_1-S7_O19-19,sizeAmbitus,Size ambitus of sea urchin in mm,48,mm
TANGO_2-DIV_1-S7_O19-19,height,Height of sea urchin in mm,32,mm
TANGO_2-DIV_1-S7_O19-19,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.8,per mille
TANGO_2-DIV_1-S7_O19-19,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.15,per mille
TANGO_2-DIV_1-S7_O19-19,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.24,per mille
TANGO_2-DIV_1-S7_O20-20,sizeAmbitus,Size ambitus of sea urchin in mm,48,mm
TANGO_2-DIV_1-S7_O20-20,height,Height of sea urchin in mm,30,mm
TANGO_2-DIV_1-S7_O20-20,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-10.91,per mille
TANGO_2-DIV_1-S7_O20-20,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.94,per mille
TANGO_2-DIV_1-S7_O20-20,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.82,per mille
TANGO_2-RD_7-S8_O1-1606,sizeAmbitus,Size ambitus of sea urchin in mm,60,mm
TANGO_2-RD_7-S8_O1-1606,height,Height of sea urchin in mm,32,mm
TANGO_2-RD_7-S8_O1-1606,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.67,per mille
TANGO_2-RD_7-S8_O1-1606,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.01,per mille
TANGO_2-RD_7-S8_O1-1606,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.69,per mille
TANGO_2-DIV_15-S8_O1-1606,sizeAmbitus,Size ambitus of sea urchin in mm,60,mm
TANGO_2-DIV_15-S8_O1-1606,height,Height of sea urchin in mm,32,mm
TANGO_2-DIV_15-S8_O1-1606,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.67,per mille
TANGO_2-DIV_15-S8_O1-1606,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.01,per mille
TANGO_2-DIV_15-S8_O1-1606,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.69,per mille
TANGO_2-DIV_15-S8_O2-1607,sizeAmbitus,Size ambitus of sea urchin in mm,63,mm
TANGO_2-DIV_15-S8_O2-1607,height,Height of sea urchin in mm,40,mm
TANGO_2-DIV_15-S8_O2-1607,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.75,per mille
TANGO_2-DIV_15-S8_O2-1607,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.26,per mille
TANGO_2-DIV_15-S8_O2-1607,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.11,per mille
TANGO_2-DIV_15-S8_O3-1608,sizeAmbitus,Size ambitus of sea urchin in mm,50,mm
TANGO_2-DIV_15-S8_O3-1608,height,Height of sea urchin in mm,31,mm
TANGO_2-DIV_15-S8_O3-1608,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.95,per mille
TANGO_2-DIV_15-S8_O3-1608,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.91,per mille
TANGO_2-DIV_15-S8_O3-1608,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.84,per mille
TANGO_2-DIV_15-S8_O4-1609,sizeAmbitus,Size ambitus of sea urchin in mm,69,mm
TANGO_2-DIV_15-S8_O4-1609,height,Height of sea urchin in mm,39,mm
TANGO_2-DIV_15-S8_O4-1609,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.72,per mille
TANGO_2-DIV_15-S8_O4-1609,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.91,per mille
TANGO_2-DIV_15-S8_O4-1609,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.2,per mille
TANGO_2-DIV_15-S8_O5-1610,sizeAmbitus,Size ambitus of sea urchin in mm,74,mm
TANGO_2-DIV_15-S8_O5-1610,height,Height of sea urchin in mm,38,mm
TANGO_2-DIV_15-S8_O5-1610,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-9.25,per mille
TANGO_2-DIV_15-S8_O5-1610,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.23,per mille
TANGO_2-DIV_15-S8_O5-1610,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.96,per mille
TANGO_2-DIV_15-S8_O6-1611,sizeAmbitus,Size ambitus of sea urchin in mm,61,mm
TANGO_2-DIV_15-S8_O6-1611,height,Height of sea urchin in mm,31,mm
TANGO_2-DIV_15-S8_O6-1611,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.6,per mille
TANGO_2-DIV_15-S8_O6-1611,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.88,per mille
TANGO_2-DIV_15-S8_O6-1611,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.04,per mille
TANGO_2-DIV_15-S8_O7-1612,sizeAmbitus,Size ambitus of sea urchin in mm,60,mm
TANGO_2-DIV_15-S8_O7-1612,height,Height of sea urchin in mm,31,mm
TANGO_2-DIV_15-S8_O7-1612,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-9.33,per mille
TANGO_2-DIV_15-S8_O7-1612,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.01,per mille
TANGO_2-DIV_15-S8_O7-1612,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.78,per mille
TANGO_2-DIV_15-S8_O8-1613,sizeAmbitus,Size ambitus of sea urchin in mm,63,mm
TANGO_2-DIV_15-S8_O8-1613,height,Height of sea urchin in mm,33,mm
TANGO_2-DIV_15-S8_O8-1613,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.86,per mille
TANGO_2-DIV_15-S8_O8-1613,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.21,per mille
TANGO_2-DIV_15-S8_O8-1613,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.07,per mille
TANGO_2-DIV_15-S8_O9-1614,sizeAmbitus,Size ambitus of sea urchin in mm,68,mm
TANGO_2-DIV_15-S8_O9-1614,height,Height of sea urchin in mm,33,mm
TANGO_2-DIV_15-S8_O9-1614,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.69,per mille
TANGO_2-DIV_15-S8_O9-1614,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.83,per mille
TANGO_2-DIV_15-S8_O9-1614,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.98,per mille
TANGO_2-DIV_15-S8_O10-1615,sizeAmbitus,Size ambitus of sea urchin in mm,60,mm
TANGO_2-DIV_15-S8_O10-1615,height,Height of sea urchin in mm,32,mm
TANGO_2-DIV_15-S8_O10-1615,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-9.28,per mille
TANGO_2-DIV_15-S8_O10-1615,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.19,per mille
TANGO_2-DIV_15-S8_O10-1615,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.09,per mille
TANGO_2-DIV_15-S8_O11-1616,sizeAmbitus,Size ambitus of sea urchin in mm,56,mm
TANGO_2-DIV_15-S8_O11-1616,height,Height of sea urchin in mm,33,mm
TANGO_2-DIV_15-S8_O11-1616,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-9.38,per mille
TANGO_2-DIV_15-S8_O11-1616,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.47,per mille
TANGO_2-DIV_15-S8_O11-1616,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.92,per mille
TANGO_2-DIV_15-S8_O12-1617,sizeAmbitus,Size ambitus of sea urchin in mm,59,mm
TANGO_2-DIV_15-S8_O12-1617,height,Height of sea urchin in mm,36,mm
TANGO_2-DIV_15-S8_O12-1617,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-10.24,per mille
TANGO_2-DIV_15-S8_O12-1617,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.89,per mille
TANGO_2-DIV_15-S8_O12-1617,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.3,per mille
TANGO_2-DIV_15-S8_O13-1618,sizeAmbitus,Size ambitus of sea urchin in mm,59,mm
TANGO_2-DIV_15-S8_O13-1618,height,Height of sea urchin in mm,36,mm
TANGO_2-DIV_15-S8_O13-1618,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-7.71,per mille
TANGO_2-DIV_15-S8_O13-1618,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.55,per mille
TANGO_2-DIV_15-S8_O13-1618,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.08,per mille
TANGO_2-DIV_15-S8_O14-1619,sizeAmbitus,Size ambitus of sea urchin in mm,62,mm
TANGO_2-DIV_15-S8_O14-1619,height,Height of sea urchin in mm,37,mm
TANGO_2-DIV_15-S8_O14-1619,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-9.15,per mille
TANGO_2-DIV_15-S8_O14-1619,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.72,per mille
TANGO_2-DIV_15-S8_O14-1619,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.57,per mille
TANGO_2-DIV_15-S8_O15-1620,sizeAmbitus,Size ambitus of sea urchin in mm,60,mm
TANGO_2-DIV_15-S8_O15-1620,height,Height of sea urchin in mm,39,mm
TANGO_2-DIV_15-S8_O15-1620,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.19,per mille
TANGO_2-DIV_15-S8_O15-1620,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.75,per mille
TANGO_2-DIV_15-S8_O15-1620,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.74,per mille
TANGO_2-DIV_15-S8_O16-1621,sizeAmbitus,Size ambitus of sea urchin in mm,54,mm
TANGO_2-DIV_15-S8_O16-1621,height,Height of sea urchin in mm,34,mm
TANGO_2-DIV_15-S8_O16-1621,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.46,per mille
TANGO_2-DIV_15-S8_O16-1621,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.64,per mille
TANGO_2-DIV_15-S8_O16-1621,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.69,per mille
TANGO_2-DIV_15-S8_O17-1622,sizeAmbitus,Size ambitus of sea urchin in mm,65,mm
TANGO_2-DIV_15-S8_O17-1622,height,Height of sea urchin in mm,35,mm
TANGO_2-DIV_15-S8_O17-1622,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-8.46,per mille
TANGO_2-DIV_15-S8_O17-1622,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.61,per mille
TANGO_2-DIV_15-S8_O17-1622,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.67,per mille
TANGO_2-DIV_15-S8_O18-1623,sizeAmbitus,Size ambitus of sea urchin in mm,59,mm
TANGO_2-DIV_15-S8_O18-1623,height,Height of sea urchin in mm,35,mm
TANGO_2-DIV_15-S8_O18-1623,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-9.13,per mille
TANGO_2-DIV_15-S8_O18-1623,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.07,per mille
TANGO_2-DIV_15-S8_O18-1623,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.89,per mille
TANGO_2-DIV_15-S8_O19-1624,sizeAmbitus,Size ambitus of sea urchin in mm,63,mm
TANGO_2-DIV_15-S8_O19-1624,height,Height of sea urchin in mm,40,mm
TANGO_2-DIV_15-S8_O19-1624,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-9.2,per mille
TANGO_2-DIV_15-S8_O19-1624,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.92,per mille
TANGO_2-DIV_15-S8_O19-1624,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.07,per mille
TANGO_2-DIV_15-S8_O20-1625,sizeAmbitus,Size ambitus of sea urchin in mm,55,mm
TANGO_2-DIV_15-S8_O20-1625,height,Height of sea urchin in mm,32,mm
TANGO_2-DIV_15-S8_O20-1625,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-9.61,per mille
TANGO_2-DIV_15-S8_O20-1625,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.83,per mille
TANGO_2-DIV_15-S8_O20-1625,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.23,per mille
TANGO_2-DIV_17-S9_O1-2101,sizeAmbitus,Size ambitus of sea urchin in mm,43,mm
TANGO_2-DIV_17-S9_O1-2101,height,Height of sea urchin in mm,19,mm
TANGO_2-DIV_17-S9_O1-2101,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-22.42,per mille
TANGO_2-DIV_17-S9_O1-2101,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.25,per mille
TANGO_2-DIV_17-S9_O1-2101,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.25,per mille
TANGO_2-DIV_17-S9_O2-2102,sizeAmbitus,Size ambitus of sea urchin in mm,52,mm
TANGO_2-DIV_17-S9_O2-2102,height,Height of sea urchin in mm,26,mm
TANGO_2-DIV_17-S9_O2-2102,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-24.36,per mille
TANGO_2-DIV_17-S9_O2-2102,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",7.49,per mille
TANGO_2-DIV_17-S9_O2-2102,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.71,per mille
TANGO_2-DIV_19-S9_O3-2169,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_2-DIV_19-S9_O3-2169,height,Height of sea urchin in mm,21,mm
TANGO_2-DIV_19-S9_O3-2169,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-18.89,per mille
TANGO_2-DIV_19-S9_O3-2169,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",7.71,per mille
TANGO_2-DIV_19-S9_O3-2169,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.34,per mille
