occurrenceID,verbatimMeasurementType,measurementType,measurementValue,measurementUnit
TANGO_1-SCUBA_2-S1_O19-43,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.74,per mille
TANGO_1-SCUBA_2-S1_O19-43,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.42,per mille
TANGO_1-SCUBA_2-S1_O20-44,sizeAmbitus,Size ambitus of sea urchin in mm,46,mm
TANGO_1-SCUBA_2-S1_O20-44,height,Height of sea urchin in mm,29,mm
TANGO_1-SCUBA_2-S1_O20-44,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.6,per mille
TANGO_1-SCUBA_2-S1_O20-44,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.31,per mille
TANGO_1-SCUBA_2-S1_O20-44,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.24,per mille
TANGO_1-SCUBA_2-S1_O21-45,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_1-SCUBA_2-S1_O21-45,height,Height of sea urchin in mm,26,mm
TANGO_1-SCUBA_2-S1_O21-45,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.54,per mille
TANGO_1-SCUBA_2-S1_O21-45,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.47,per mille
TANGO_1-SCUBA_2-S1_O21-45,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.18,per mille
TANGO_1-SCUBA_8-S2_O1-369,sizeAmbitus,Size ambitus of sea urchin in mm,40,mm
TANGO_1-SCUBA_8-S2_O1-369,height,Height of sea urchin in mm,24,mm
TANGO_1-SCUBA_8-S2_O1-369,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-16.24,per mille
TANGO_1-SCUBA_8-S2_O1-369,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.84,per mille
TANGO_1-SCUBA_8-S2_O1-369,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.85,per mille
TANGO_1-SCUBA_8-S2_O2-370,sizeAmbitus,Size ambitus of sea urchin in mm,39,mm
TANGO_1-SCUBA_8-S2_O2-370,height,Height of sea urchin in mm,21,mm
TANGO_1-SCUBA_8-S2_O2-370,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-16.02,per mille
TANGO_1-SCUBA_8-S2_O2-370,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.54,per mille
TANGO_1-SCUBA_8-S2_O2-370,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.22,per mille
TANGO_1-SCUBA_8-S2_O3-371,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_1-SCUBA_8-S2_O3-371,height,Height of sea urchin in mm,23,mm
TANGO_1-SCUBA_8-S2_O3-371,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.51,per mille
TANGO_1-SCUBA_8-S2_O3-371,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.88,per mille
TANGO_1-SCUBA_8-S2_O3-371,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.39,per mille
TANGO_1-SCUBA_8-S2_O4-372,sizeAmbitus,Size ambitus of sea urchin in mm,40,mm
TANGO_1-SCUBA_8-S2_O4-372,height,Height of sea urchin in mm,24,mm
TANGO_1-SCUBA_8-S2_O4-372,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.4,per mille
TANGO_1-SCUBA_8-S2_O4-372,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.59,per mille
TANGO_1-SCUBA_8-S2_O4-372,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.78,per mille
TANGO_1-SCUBA_8-S2_O5-373,sizeAmbitus,Size ambitus of sea urchin in mm,47,mm
TANGO_1-SCUBA_8-S2_O5-373,height,Height of sea urchin in mm,25,mm
TANGO_1-SCUBA_8-S2_O5-373,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.16,per mille
TANGO_1-SCUBA_8-S2_O5-373,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.5,per mille
TANGO_1-SCUBA_8-S2_O5-373,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.96,per mille
TANGO_1-SCUBA_8-S2_O6-374,sizeAmbitus,Size ambitus of sea urchin in mm,43,mm
TANGO_1-SCUBA_8-S2_O6-374,height,Height of sea urchin in mm,25,mm
TANGO_1-SCUBA_8-S2_O6-374,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.08,per mille
TANGO_1-SCUBA_8-S2_O6-374,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.76,per mille
TANGO_1-SCUBA_8-S2_O6-374,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.28,per mille
TANGO_1-SCUBA_8-S2_O7-375,sizeAmbitus,Size ambitus of sea urchin in mm,44,mm
TANGO_1-SCUBA_8-S2_O7-375,height,Height of sea urchin in mm,24,mm
TANGO_1-SCUBA_8-S2_O7-375,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.38,per mille
TANGO_1-SCUBA_8-S2_O7-375,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.56,per mille
TANGO_1-SCUBA_8-S2_O7-375,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.61,per mille
TANGO_1-SCUBA_8-S2_O8-376,sizeAmbitus,Size ambitus of sea urchin in mm,35,mm
TANGO_1-SCUBA_8-S2_O8-376,height,Height of sea urchin in mm,19,mm
TANGO_1-SCUBA_8-S2_O8-376,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.67,per mille
TANGO_1-SCUBA_8-S2_O8-376,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.33,per mille
TANGO_1-SCUBA_8-S2_O8-376,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.55,per mille
TANGO_1-SCUBA_8-S2_O9-377,sizeAmbitus,Size ambitus of sea urchin in mm,39,mm
TANGO_1-SCUBA_8-S2_O9-377,height,Height of sea urchin in mm,21,mm
TANGO_1-SCUBA_8-S2_O9-377,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-15.24,per mille
TANGO_1-SCUBA_8-S2_O9-377,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.72,per mille
TANGO_1-SCUBA_8-S2_O9-377,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.79,per mille
TANGO_1-SCUBA_8-S2_O10-378,sizeAmbitus,Size ambitus of sea urchin in mm,34,mm
